Company,TypeName,Inches,ScreenResolution,Ram,OpSys,Weight,Touchscreen,IPS_panel,Cpu_brand,SSD,HDD,FlashStorage,Gpu_brand,Price
Huawei,Ultrabook,13.0,2160x1440,8,Windows,1.05,0,1,Intel Core i5,256,0,0,Intel,121410.0
HP,Notebook,17.3,1920x1080,6,Windows,2.71,0,1,Intel Core i5,0,2000,0,AMD,62910.0
Lenovo,Notebook,15.6,1366x768,4,No ,2.2,0,0,AMD processor,0,500,0,AMD,27810.0
Toshiba,Notebook,15.6,1366x768,4,Windows,2.0,0,0,Intel Core i3,0,500,0,Intel,44010.0
HP,Notebook,17.3,1920x1080,8,Windows,2.5,0,0,Intel Core i5,256,0,0,Nvidia,83070.0
Dell,Notebook,15.6,1366x768,8,Windows,2.3,0,0,Intel Core i3,0,1000,0,Intel,41310.0
Acer,Notebook,15.6,1366x768,4,Windows,2.1,0,0,Intel Core i3,128,0,0,Intel,40410.0
MSI,Gaming,18.4,1920x1080,32,Windows,4.4,0,0,Intel Core i7,1512,1000,0,Nvidia,251910.0
Lenovo,Notebook,15.6,1920x1080,8,Windows,1.9,0,0,Intel Core i5,1128,1000,0,AMD,73170.0
HP,2 in 1 Convertible,13.3,3840x2160,8,Windows,1.29,1,1,Intel Core i5,256,0,0,Intel,134910.0
Dell,Notebook,15.6,1920x1080,16,Linux,2.02,0,0,Intel Core i7,2256,2000,0,AMD,94410.0
Dell,Ultrabook,13.3,1920x1080,8,Windows,1.23,0,0,Intel Core i5,256,0,0,Intel,125910.0
Lenovo,2 in 1 Convertible,13.9,3840x2160,16,Windows,1.4,1,1,Intel Core i7,512,0,0,Intel,166410.0
Toshiba,Notebook,15.6,1366x768,8,Windows,2.0,0,0,Intel Core i5,128,0,0,Intel,71370.0
Xiaomi,Notebook,15.6,1920x1080,8,No ,1.95,0,1,Intel Core i5,256,0,0,Nvidia,107910.0
Dell,Notebook,17.3,1920x1080,16,Windows,2.77,1,0,Intel Core i7,512,0,0,Nvidia,139410.0
Dell,Notebook,15.6,3840x2160,16,Windows,2.06,1,0,Intel Core i7,512,0,0,Nvidia,215730.0
Lenovo,Gaming,15.6,1920x1080,8,No ,2.4,0,1,Intel Core i5,256,0,0,Nvidia,70110.0
Acer,Ultrabook,13.3,1920x1080,8,Windows,1.12,0,1,Intel Core i5,256,0,0,Intel,89010.0
Dell,Notebook,17.3,1920x1080,8,Windows,2.8,0,0,Intel Core i7,1128,1000,0,AMD,97650.0
Lenovo,2 in 1 Convertible,14.0,2560x1440,16,Windows,1.42,1,0,Intel Core i7,1000,0,0,Intel,254160.0
Vero,Notebook,14.0,1920x1080,4,Windows,1.3,0,1,Other Intel,0,0,32,Intel,23400.0
Xiaomi,Ultrabook,13.3,1920x1080,8,No ,1.3,0,1,Intel Core i5,256,0,0,Nvidia,89991.0
Lenovo,Notebook,17.3,1600x900,8,No ,2.8,0,0,Intel Core i5,256,0,0,Nvidia,62820.0
Dell,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.62,1,1,Intel Core i7,0,1000,0,Intel,75510.0
HP,Notebook,17.3,1920x1080,8,Windows,2.5,0,1,Intel Core i5,0,1000,0,Nvidia,82260.0
Razer,Gaming,17.3,3840x2160,32,Windows,3.49,1,0,Intel Core i7,1000,0,0,Nvidia,548910.0
HP,Notebook,13.3,1920x1080,8,Windows,1.49,0,0,Intel Core i5,512,0,0,Intel,86310.0
HP,Gaming,17.3,1920x1080,16,Windows,3.35,0,1,Intel Core i7,1256,1000,0,Nvidia,124110.0
HP,Notebook,17.3,1920x1080,8,Windows,2.5,0,0,Intel Core i7,256,0,0,Nvidia,94050.0
Dell,Gaming,15.6,3840x2160,16,Windows,2.65,0,1,Intel Core i7,1512,1000,0,Nvidia,166050.0
Lenovo,Notebook,15.6,1366x768,4,Windows,2.1,0,0,Intel Core i5,128,0,0,Intel,44370.0
Acer,Notebook,15.6,1920x1080,8,Windows,2.23,0,0,Intel Core i7,0,1000,0,Nvidia,66780.0
Lenovo,Gaming,15.6,1920x1080,16,Windows,3.2,0,1,Intel Core i7,1512,1000,0,Nvidia,157410.0
Dell,Workstation,15.6,3840x2160,16,Windows,2.8,0,0,Other Intel,1256,1000,0,Nvidia,274950.0
Lenovo,Gaming,15.6,1920x1080,16,No ,2.4,0,0,Intel Core i7,512,0,0,Nvidia,125820.0
Dell,Notebook,15.6,1366x768,6,Windows,2.3,1,0,Intel Core i3,0,1000,0,Intel,39510.0
Dell,Ultrabook,13.3,3840x2160,8,Windows,1.21,1,1,Intel Core i7,256,0,0,Intel,175410.0
Dell,Ultrabook,13.3,1920x1080,8,Windows,1.2,0,0,Intel Core i7,256,0,0,Intel,130410.0
Lenovo,Notebook,15.6,1366x768,8,Windows,2.2,0,0,Intel Core i5,256,0,0,Intel,53730.0
Acer,Notebook,15.6,1920x1080,8,Linux,2.4,0,0,Intel Core i7,0,1000,0,Nvidia,70110.0
Asus,Gaming,17.3,1920x1080,16,Windows,2.9,0,0,Intel Core i7,1256,1000,0,Nvidia,126630.0
HP,Notebook,15.6,1920x1080,4,No ,2.1,0,0,Intel Core i3,0,500,0,Intel,31410.0
Lenovo,Notebook,15.6,1920x1080,8,No ,2.2,0,0,Intel Core i5,256,0,0,Intel,49410.0
Huawei,Ultrabook,13.0,2160x1440,8,Windows,1.05,0,1,Intel Core i7,512,0,0,Intel,134910.0
Dell,Ultrabook,13.3,1920x1080,8,Windows,1.4,0,1,Intel Core i7,256,0,0,AMD,83869.2
Lenovo,Notebook,17.3,1600x900,8,No ,2.8,0,0,Intel Core i5,0,1000,0,Nvidia,53010.0
HP,Notebook,14.0,1920x1080,8,Windows,1.63,0,0,Intel Core i7,256,0,0,Nvidia,92790.0
Dell,Ultrabook,14.0,1920x1080,8,Windows,1.6,0,0,Intel Core i5,256,0,0,Intel,103410.0
Dell,2 in 1 Convertible,13.3,1920x1080,16,Windows,1.62,1,0,Intel Core i7,512,0,0,Intel,115110.0
Dell,Notebook,15.6,1920x1080,8,Linux,2.2,0,0,Intel Core i5,256,0,0,AMD,60961.5
Lenovo,2 in 1 Convertible,14.0,1920x1080,8,Windows,1.74,0,1,Intel Core i5,256,0,0,Intel,80910.0
Toshiba,Ultrabook,13.3,1920x1080,8,Windows,1.2,0,0,Intel Core i7,256,0,0,Intel,122670.0
HP,Notebook,15.6,1920x1080,8,Windows,2.1,0,0,Intel Core i5,0,1000,0,Intel,71460.0
Dell,Gaming,17.3,1920x1080,16,Windows,4.42,0,1,Intel Core i7,1256,1000,0,Nvidia,221070.6
Acer,Notebook,15.6,1920x1080,8,Windows,2.2,0,0,Intel Core i7,256,0,0,Nvidia,74880.0
Dell,Notebook,15.6,1920x1080,16,Windows,2.3,1,0,Intel Core i7,0,1000,0,AMD,77310.9
Asus,Notebook,15.6,1920x1080,8,Windows,2.0,0,0,Intel Core i5,256,0,0,Nvidia,69210.0
Asus,Notebook,17.3,1920x1080,8,Windows,2.69,0,0,Intel Core i5,756,500,0,Nvidia,80190.0
HP,Notebook,15.6,1920x1080,8,Windows,1.9,0,0,Intel Core i7,0,1000,0,AMD,114210.0
Asus,Notebook,15.6,1366x768,4,Windows,2.37,0,0,Intel Core i3,0,1000,0,Intel,35909.1
HP,Notebook,15.6,1366x768,4,Windows,2.1,0,0,AMD processor,0,500,0,AMD,29700.0
Lenovo,Gaming,15.6,1920x1080,16,Windows,3.2,0,1,Intel Core i7,1256,1000,0,Nvidia,134910.0
Dell,Notebook,14.0,1920x1080,8,Windows,1.6,0,0,Intel Core i5,256,0,0,Intel,77310.0
Acer,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.6,1,1,Intel Core i5,256,0,0,Intel,62010.0
Dell,Notebook,15.6,1920x1080,16,Linux,2.36,0,0,Intel Core i7,256,0,0,AMD,80910.0
Acer,Notebook,15.6,1366x768,4,Linux,2.1,0,0,Intel Core i3,0,1000,0,Intel,35100.0
Asus,Notebook,15.6,1920x1080,4,Windows,2.2,0,0,AMD processor,1128,1000,0,AMD,51750.0
Asus,Gaming,17.3,1920x1080,32,Windows,4.7,0,0,Intel Core i7,1512,1000,0,Nvidia,350100.0
Acer,Gaming,15.6,1920x1080,8,Windows,2.5,0,1,Intel Core i5,256,0,0,Nvidia,76140.0
